city,pop2024
Amsterdam,741636
Rotterdam,598199
The Hague,474292
Utrecht,290529
Eindhoven,209620
Tilburg,199613
Groningen,181194
Almere Stad,176432
Breda,167673
Nijmegen,158732
Enschede,153655
Haarlem,147590
Arnhem,141674
Zaanstad,140085
Amersfoort,139914
Apeldoorn,136670
's-Hertogenbosch,134520
Hoofddorp,132734
Maastricht,122378
Leiden,119713
Dordrecht,119260
Zoetermeer,115845
Zwolle,111805
Deventer,97331
Delft,95060
Alkmaar,94853
Heerlen,93084
Venlo,92403
Leeuwarden,91424
Amsterdam-Zuidoost,84811
Hilversum,83640
Hengelo,80809
Amstelveen,79639
Roosendaal,77725
Purmerend,76745
Oss,76430
Schiedam,75438
Spijkenisse,74988
Helmond,74740
Vlaardingen,73798
Almelo,72725
Gouda,71952
Zaandam,71708
Lelystad,70741
Alphen aan den Rijn,70251
Hoorn,68852
Velsen-Zuid,67758
Ede,67670
Bergen op Zoom,66256
Capelle aan den IJssel,65255
Assen,62237
Nieuwegein,61489
Veenendaal,61271
Zeist,60949
Den Helder,59569
Hardenberg,57909
Emmen,57010
Oosterhout,53107
Doetinchem,49906
Kerkrade,49777
Kampen,48980
Weert,48662
Woerden,48431
Sittard,48400
Heerhugowaard,47580
Rijswijk,47299
Middelburg,46485
Emmeloord,46409
Zwijndrecht,45696
Waalwijk,45610
Huizen,45292
Vlissingen,45273
Ridderkerk,45189
Soest,45021
Roermond,44975
Drachten,44537
Heerenveen,43094
Medemblik,41500
Tiel,40702
Harderwijk,40516
Maarssen,39675
Venray,39047
Hoogeveen,38754
Barendrecht,38672
Nijkerk,38335
Voorburg,38000
Beverwijk,37585
Goes,36931
Zutphen,36188
Heemskerk,36170
Wageningen,35433
Castricum,35256
Gorinchem,34736
Uden,34601
IJsselstein,33886
Epe,33385
Sneek,32811
Geleen,32790
Maassluis,32780
Wijchen,32693
Papendrecht,31621
Oldenzaal,31410
Bussum,31334
Valkenswaard,31071
Meppel,30697
Ypenburg,30000
Winterswijk,29623
Boxtel,29511
Brunssum,29254
Leusden,29215
Best,29074
Krimpen aan den IJssel,29017
Delfzijl,28649
Barneveld,28640
Veendam,28155
Groot IJsselmonde,28120
Dronten,28073
Terneuzen,27930
Geldrop,27900
Uithoorn,26846
Culemborg,26826
Dalfsen,26575
Zaltbommel,26383
Werkendam,26362
Zevenaar,26063
Oisterwijk,25980
Leiderdorp,25966
Geldermalsen,25734
Heemstede,25562
Beuningen,25557
Duiven,25469
Dongen,25464
Wassenaar,25353
Veghel,25352
Waddinxveen,25338
Ommoord,25150
Vught,25043
Hoensbroek,25000
Baarn,24584
Noordwijk-Binnen,24363
Diemen,24361
Haaksbergen,24137
Sliedrecht,23854
Steenbergen,23582
Oud-Beijerland,23569
Wierden,23244
Schijndel,23239
Nuenen,23223
Putten,23168
Scheveningen,23000
Loon op Zand,23000
Aalsmeer,22991
Goirle,22646
Voorschoten,22468
Losser,22431
Lisse,22321
Borssele,22285
Volendam,22000
Hellevoetsluis,21927
Elburg,21844
Hoogezand,21480
Brummen,21344
Oegstgeest,21149
Hendrik-Ido-Ambacht,21027
Geertruidenberg,20941
Leerdam,20758
Borne,20550
Heiloo,20510
Elst,20488
Tubbergen,20334
Tegelen,20190
