address,agent_name,agent_url,available,balcony,city,construction_type,deposit,description,district,dwelling_type,energy_rating,house_name,house_url,interior,living_area_m2,maximum_months,minimum_months,number_of_bathrooms,number_of_bedrooms,number_of_rooms,offered_since,pets_allowed,price,property_type,rental_agreement,service_cost,smoking_allowed,status,year_of_construction
3025 TM (Bospolder),Huurwoning in Rotterdam,https://www.pararius.com/real-estate-agents/rotterdam/huurwoning-in-rotterdam,01-02-2025,Present,Rotterdam,Existing building,1150.0,"Description 

                                                         PLEASE NOTE: due to the enormous interest we have received, it is no longer possible to qualify for this apartment. Sorry for the inconvenience. 
 A two-room apartment on the Spanjaardstraat in the district 'Delfshaven'. The apartment has a central location. Shops and public transport are within walking distance. 
 Lay-out: 
You enter the house in the hall. From the hall you take the internal stairs to the first floor. The apartment has an area of approximately 58 m2. You enter the house in the living room with kitchen. The living room with kitchen has two patio doors to the balcony at the rear. The kitchen is equipped with refrigerator, gas stove, oven, extractor hood and a sink. The bedroom is located at the front and has two large windows. This allows a lot of natural light to enter the house. The bathroom is located in the middle of the house and is equipped with toilet, shower and a sink with mirror. Furthermore, the entire house has a laminate floor, central heating system and double glazing. 
 Rental conditions: 
 
 Rental price: € 1150 (€1025 basic rent + €125 upholstery cost) 
 Income requirement: monthly gross income at least 3 times the rent or student (s) with guarantor 
 Deposit: € 1150 (1 month rent) 
 Rental period: indefinitely 
 Delivery method: upholstered 
 Available from: 01-02-2025 
 Viewing time: no (group) viewings. 3D rendering available 
 
 For this apartment we work as a rental agent on behalf of the owner. Would you like to view the apartment online? Feel free to contact us. This can be done email. 
 The information has been compiled by us with due care. All information provided should be regarded as an invitation to enter into negotiations. On the other hand, however, no liability is accepted for any incompleteness, inaccuracy or otherwise, or the consequences thereof. All specified sizes and surfaces are an indication.",Bospolder,Flat,,For rent: Flat Spanjaardstraat,https://www.pararius.com/apartment-for-rent/rotterdam/3c392142/spanjaardstraat,Upholstered,58.0,,,1,1,2,06-01-2025,No,1150.0,"Gallery flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1913
5709 GM (Rijpelberg-West),KI-Makelaardij,https://www.pararius.com/real-estate-agents/eindhoven/ki-makelaardij,06-01-2025,Not present,Helmond,Existing building,,"Description 

                                                         In a quiet and child friendly area, this neat corner house in the residential Rijpelberg, also called the green village in Helmond. The house has 5 bedrooms, a modern kitchen, bathroom and a nice privacy backyard located on the southeast. Many amenities are nearby such as shopping Rijpelberg, schools, childcare and a train station. 
 GROUND FLOOR 
 Entrance 
Covered entrance to the hall with a staircase with carpet. The hall has a laminate floor. From the hall, the living room, toilet and meter cupboard accessible. 
 Toilet 
Fully tiled toilet with a wall closet and a sink. 
 Living room 
A cozy, bright living room with laminate flooring, spachtelputz and masonry walls, ceiling painting and a pantry. The living room has a large window and a sliding door which ensures that the house has a pleasant light. The sliding door provides access to the backyard and the living room is connected to the open kitchen. 
 Kitchen 
Semi open kitchen with a tiled floor. The kitchen is in a corner unit with various base units, induction hob, extractor, oven, microwave and refrigerator. Through the kitchen is the backyard accessible. 
 FIRST FLOOR 
 Through a closed staircase you reach the landing of the second floor, which has a laminate floor. Through the landing you can reach the three bedrooms and the bathroom. All rooms have walls covered with wallpaper, ceiling spray, laminate flooring and plastic frames with double glazing. 
 Bedroom 1 (approx. 4.89 x 2.72m) located at the rear with a wardrobe. 
 Bedroom 2 (approx. 3.23 x 2.89m) located at the front. 
 Bedroom 3 (approx. 2.89 x 2.23m) located in the middle of the second floor. 
 Bathroom 
Practical bathroom with a walk-in shower, toilet, design radiator and a sink with a base cabinet and mirror. The bathroom has a dark gray tile. 
 SECOND FLOOR 
 Through a staircase accessible attic with a linoleum floor and a fixed closet. Access to the 2 bedrooms. 
 Bedroom 4 (approx. 2.85 x 2.29m) located at the front. The bedroom has a vinyl floor and a plastic tilt window with double glazing. In this room is the connection for the washing machine. 
 Bedroom 5 (approx. 2.85 x 2.67m) located at the rear and has a laminate floor and a skylight with double glazing. 
 GARDEN 
 Front yard 
Front yard with two borders and pavement. 
 Backyard 
This well maintained backyard located on the southeast is fully enclosed by a wooden fence. The backyard has a terrace with a manually operated awning, paving and several playful borders with perennial plants. In the backyard is the shed, which is equipped with electricity and water. From the garden, the kitchen, living room and the back can be reached through a locked gate. 
 DETAILS 
 
 Rent Euro 1300,- per month excluding gas, water and electricity; 
 Available 1 Febr 2025; 
 Deposit 1 month rent; 
 Maximum 24 months contract, possibly extendable; 
 The house is connected to district heating; 
 Quiet and green living; 
 Child friendly; 
 5 bedrooms; 
 Neat bathroom; 
 Air conditioning; 
 Solar panels : 
 Close to stores, schools, train station; 
 A short distance from walking park Berkenbos;",Rijpelberg-West,House,,For rent: House Scheerderhof 38,https://www.pararius.com/house-for-rent/helmond/18f6fba6/scheerderhof,Upholstered,106.0,,,1,4,5,05-01-2025,,1300.0,"Corner house, Family home",,Includes: Service costs,,For rent,1983
2518 BS (Zeeheldenkwartier),Immovita,https://www.pararius.com/real-estate-agents/den-haag/immovita,06-01-2025,Not present,Den Haag,Existing building,950.0,"Description 

                                                         Nice appartment at Trompstraat located at the first floor back side. 
 €770.- basic rent 
GEW, TV, Wireless internet and service cost 125,- 
 Total rent : € 895.- incl. GWE TV and internet 
Suitable for one person. No pet's allowed 
 EXAMPLE PICTURES.",Zeeheldenkwartier,Flat,F,For rent: Flat Trompstraat,https://www.pararius.com/apartment-for-rent/den-haag/c963996e/trompstraat,Upholstered,35.0,,,1,1,1,06-01-2025,No,800.0,"Gallery flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1900
1074 CS (Oude Pijp),Broersma Makelaardij,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij,15-01-2025,Present,Amsterdam,Existing building,,"Description 

                                                         Delightful living in a bright and modern apartment in a quiet street in the Pijp. 
 This apartment is the perfect city apartment, part of an architectural building that is so characteristic of Amsterdam. The layout, light and south-facing balcony make it a very pleasant place to come home to. 
 A tour 
 The second floor 
Upon entering through the communal hall, the light and the open feeling of space are immediately apparent. At the front is the living room with modern open kitchen with various built-in appliances, washing machine and dryer and has plenty of storage space. You can enjoy cooking and sitting at the bar. Opening the balcony doors creates a nice indoor-outdoor feeling and the wooden floor contributes to an atmospheric living experience. 
 At the rear is the bedroom with en suite bathroom with double sink, shower and bath. The bedroom also has wardrobes and patio doors to the balcony located on the sunny south. There is a separate toilet in the hall. 
 The outdoor space 
At the rear is a south-facing balcony over the entire width of the building. At the front is a French balcony overlooking the street. 
 The area and accessibility 
Located in the Amsterdam Pijp and a stone's throw from the Sarphatipark and the Albert Cuyp market for daily shopping. Numerous nice, trendy bars, restaurants and (organic) supermarkets in the immediate vicinity. 
 Near the Ring A10 and easily accessible by public transport, such as tram lines: 3 and 4, bus line: 246. Metro station De Pijp with the North South line is around the corner and Amsterdam Central Station is only 15 minutes away. 
 The parking options 
Residents can apply for a parking permit for the area.  
 The specifications  
 
 Available: from 15 January; 
 Rental price: € 2,500 excl. per month; 
 Security deposit: 2 months rent; 
 Rental terms: Model A, minimum of 12 months, indefinite term; 
 Upholstered. 
 
 Want to discover more? Download the BRSM-magazine or visit the Broersma website.  
 This information was drafted with the utmost care. However, we are not liable for any unintended omission or inaccuracy, etcetera nor any consequences related thereto. All measurements and sizes are indicative only.",Oude Pijp,Flat,B,For rent: Flat Tweede Jan Steenstraat 100 2,https://www.pararius.com/apartment-for-rent/amsterdam/d684d45d/tweede-jan-steenstraat,Upholstered,63.0,,,1,1,2,06-01-2025,,2500.0,Upstairs apartment,,,,For rent,1884
1077 NK (Apollobuurt),Broersma Makelaardij,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij,01-03-2025,Present,Amsterdam,Existing building,,"Description 

                                                         Minerva’s Corner - This luxurious corner apartment on the broad and stately Minervalaan, measuring approximately 132 m² on a single floor, has been carefully finished with high-quality materials. The home stands out for its bright appearance and thoughtful layout, including a spacious living room with beautiful sightlines. In addition, the apartment features three bedrooms and a modern, luxury kitchen.  
 You can experience the full living experience on our website or download our magazine. You can also easily schedule your viewing online.  
 Tour 
This third-floor apartment offers a bright and open living space, with a spacious corner living room and a luxury open kitchen, fully equipped with high-end built-in appliances. The home features an oak herringbone parquet floor with underfloor heating. There are three spacious bedrooms, with the master bedroom offering a large walk-in closet and air conditioning. The luxurious bathroom includes a freestanding bathtub, a generous walk-in shower, a double sink vanity, and a second toilet. The small balcony is accessible from the rear bedroom. Large windows provide a sunny and open view. The apartment is located on the southwest corner and has large windows that can be opened to enjoy the sun and the expansive view. 
On the attic floor there is a spacious storage room of seven square meters. 
 Neighborhood Guide 
Living in the big city, yet in a quiet and central location, close to greenery. This apartment is located on the stately and wide Minervalaan in Amsterdam-Zuid, within walking distance of both the Vondelpark and Beatrixpark. It is an ideal place to escape the hustle and bustle of everyday life and enjoy the peace and beauty of nature. Beethovenstraat provides plenty of amenities, such as a large Albert Heijn, Marqt supermarket, Rituals, and Etos. Additionally, you will find various specialty shops and fashion boutiques, including Hergo butcher shop, Le Pain Quotidien bakery, Et Claire, Rollingsushi, and PAUW men’s and women’s fashion. 
In the neighborhood, there are also many cozy restaurants and bars, such as Ferilli’s, Brasserie Margaux, Cafecito, and Bar Kasper. Every Friday, there is a lively organic market at Minervaplein. For sports enthusiasts, there are several gyms nearby, and padel can be played at Olympiaplein. 
 In the presentation of this property on our website, we have gathered the best local hotspots. 
 Specifications 
•   Rental price: € 4,950 excl. per month; 
•   Available: as of March 1 (possibility startdate mid February); 
•   Rental period: Model C, minimum 1 year, maximum 3 years; 
•   Deposit: 2 months rent; 
•   Upholstered. 
 For more information, visit the websites of the National Monument Portal, the Restoration Fund, and the Cultural Heritage Agency (Rijksdienst voor het Cultureel Erfgoed) regarding potential subsidies. 
 This information has been compiled by us with the utmost care. However, we do not accept any liability for any incompleteness, inaccuracy, or otherwise, nor for any consequences thereof. All provided dimensions and areas are merely indicative. 
The Measurement Instruction is based on NEN2580. The Measurement Instruction is intended to apply a more standardized method of measurement to provide an indication of the usable surface area. Differences in measurement results cannot be completely excluded, due to interpretation differences, rounding, or limitations in performing the measurement.",Apollobuurt,Flat,C,For rent: Flat Minervalaan 25 3,https://www.pararius.com/apartment-for-rent/amsterdam/c892aa4e/minervalaan,Upholstered,132.0,,,1,3,4,06-01-2025,,4950.0,"Upstairs apartment, Apartment",,,,For rent,1927
6603 CS (Alverna),Theo Sanders Dienstverlening,https://www.pararius.com/real-estate-agents/wijchen/theo-sanders-dienstverlening,,Not present,Wijchen,Existing building,2700.0,"Description 

                                                         Lovely apartment for rent in Wijchen with 3 bedrooms in the Alverna district.",Alverna,Flat,B,For rent: Flat Michielpad,https://www.pararius.com/apartment-for-rent/wijchen/adb040b5/michielpad,Upholstered,90.0,24,,1,3,4,06-01-2025,No,1350.0,"Gallery flat, Apartment",Temporary rental,Excludes: Service costs,No,For rent,1995
2517 AV (Sweelinckplein en omgeving),ViaDaan,https://www.pararius.com/real-estate-agents/eindhoven/viadaan,15-01-2025,Present,Den Haag,Existing building,4900.0,"Description 

                                                         Luxurious Apartment in Iconic Duinoord – Comfort Meets Charm 
 No housing permit required! 
 Welcome to your dream home in the vibrant Duinoord district of The Hague. This fully renovated 3-room apartment combines historic elegance with modern luxury, offering the perfect setting for your urban lifestyle. Whether you’re relaxing on your expansive balcony, preparing meals in the state-of-the-art kitchen, or exploring the lively neighborhood, this apartment is designed to exceed your expectations. 
 Highlights: 
• Spacious & Elegant: Approximately 80 m² of stylish living space with a luxurious herringbone PVC floor, two comfortable bedrooms, and a bright living/dining room. 
• Designer Kitchen: Fully equipped with premium appliances, including an induction cooktop, extractor hood, microwave, oven with steam addition, boiling water tap, fridge/freezer, and dishwasher—ideal for any home chef. 
• Modern Bathroom: A beautifully designed space with high-quality finishes and a washer/dryer combination. 
• Expansive Balcony: A 18 m² southwest-facing balcony offers the perfect spot for morning coffees or sunset drinks. 
• Energy-Efficient: Energy Label A, with advanced insulation and underfloor heating throughout for year-round comfort. 
 Why Duinoord? 
 Duinoord is one of The Hague’s most picturesque and sought-after neighborhoods, known for its tree-lined streets, stunning 19th-century architecture, and vibrant atmosphere. 
• Local Gems: Discover the boutique shops and charming cafés of Reinkenstraat, or enjoy culinary delights at the Zeeheldenkwartier, the trendy restaurants of Prins Hendrikstraat and Anna Paulownastraat. 
• Cultural & Historical Hotspots: The Hague’s historic city center, with landmarks like the Binnenhof and Noordeinde Palace, is just minutes away. 
• Seaside Paradise: Scheveningen Beach, a haven for sunbathers, surfers, and seafood lovers, is less than 15 minutes away. 
• Unbeatable Connectivity: Excellent public transport options include tram lines 3 and 17 and bus line 24, offering seamless access to the city center, the beach, and beyond. 
 Rental Details: 
• Monthly Rent: €2,450 (including €50 for furnishing). 
• Security Deposit: Two months’ rent (€4,900). 
 Additional Information: 
• Only suitable for singles or couples (no shared living). 
• Pets are not allowed. 
• Utilities and internet costs excluded 
• Apartment on the 2th floor without elevator 
• Non smoking apartment 
 Income Requirements: 
• Single Tenant: Gross monthly income must be at least three times the rent (€7,350). 
• Couple: Combined gross income must be at least 1.5 times three times the rent (€7,350). 
This home offers more than just a place to live—it’s your gateway to the best of The Hague. 
This information has been compiled with care; however, no liability is accepted for any omissions or inaccuracies. All dimensions and surface areas given are indicative. 
 Luxe Appartement in Iconisch Duinoord – Comfort & Charme 
 Geen huisvestingsvergunning vereist! 
 Welkom in uw droomwoning in het bruisende Duinoord in Den Haag. Dit volledig gerenoveerde 3-kamerappartement combineert historische charme met moderne luxe en biedt het ideale decor voor uw stadsleven. Of u nu ontspant op het ruime balkon, kookt in de hypermoderne keuken of de levendige buurt verkent, dit appartement overtreft uw verwachtingen. 
 Hoogtepunten: 
• Ruim & Elegant: Circa 80 m² stijlvolle leefruimte met een luxe visgraat PVC-vloer, twee comfortabele slaapkamers en een lichte woon/eetkamer. 
• Designer Keuken: Voorzien van hoogwaardige inbouwapparatuur, waaronder een inductiekookplaat, afzuigkap, magnetron, oven met stoom functie, Quooker, koelkast/vriezer en vaatwasser—perfect voor de thuiskok. 
• Moderne Badkamer: Een prachtig ontworpen ruimte met hoogwaardige afwerkingen en een was-/droogcombinatie. 
• Ruim Balkon: Een 18 m² groot balkon op het zuidwesten biedt de perfecte plek voor een ochtendkoffie of een drankje bij zonsondergang. 
• Energiezuinig: Energielabel A, met geavanceerde isolatie en vloerverwarming door het hele appartement voor comfort het hele jaar door. 
 Waarom Duinoord? 
 Duinoord is een van de meest schilderachtige en gewilde wijken van Den Haag, bekend om zijn met bomen omzoomde straten, prachtige 19e-eeuwse architectuur en levendige sfeer. 
• Lokale Parels: Ontdek de boetiekwinkels en charmante cafés van de Reinkenstraat of geniet van culinaire hoogstandjes in de hippe restaurants van het Zeeheldenkwartier, de Prins Hendrikstraat en Anna Paulownastraat. 
• Cultuur & Historie: Het historische stadscentrum van Den Haag, met hoogtepunten zoals het Binnenhof en Paleis Noordeinde, ligt op slechts enkele minuten afstand. 
• Strand op Afstand: Het strand van Scheveningen, een paradijs voor zonaanbidders, surfers en liefhebbers van zeevruchten, is minder dan 15 minuten verwijderd. 
• Uitstekende Bereikbaarheid: Uitstekende openbaar vervoermogelijkheden, waaronder tramlijnen 3 en 17 en buslijn 24, bieden naadloze toegang tot het stadscentrum, het strand en meer. 
 Huurgegevens: 
• Maandelijkse Huur: €2.450 (inclusief €50 voor meubilering). 
• Borg: Twee maanden huur (€4.900). 
 Aanvullende Informatie: 
• Allen geschikt voor alleenstaanden of stellen (geen woningdelers). 
• Huisdieren niet toegestaan. 
• Exclusief nutsvoorzieningen en internetkosten. 
• Apartement op de 2e verdieping, geen lift aanwezig. 
• Rookvrij appartement 
 Inkomenseisen: 
• Alleenstaande Huurder: Bruto maandinkomen minimaal drie keer de huur (€7.350). 
• Stel: Gezamenlijk bruto inkomen minimaal 1,5 keer drie keer de huur (€7.350). 
 Dit appartement biedt meer dan alleen een plek om te wonen—het is uw toegangspoort tot het beste van Den Haag! 
Deze informatie is met zorg samengesteld; er wordt echter geen aansprakelijkheid aanvaard voor eventuele onvolledigheden of onjuistheden. Alle opgegeven maten en oppervlakten zijn indicatief.",Sweelinckplein en omgeving,Flat,A,For rent: Flat Laan van Meerdervoort 113 B,https://www.pararius.com/apartment-for-rent/den-haag/beb85d90/laan-van-meerdervoort,Upholstered,75.0,,,1,2,3,06-01-2025,,2450.0,Upstairs apartment,Unlimited period,Excludes: Service costs,,For rent,1889
2561 TR (Koningsplein en omgeving),Immovita,https://www.pararius.com/real-estate-agents/den-haag/immovita,01-02-2025,Present,Den Haag,Existing building,795.0,"Description 

                                                         Comfortable apartment with balcony for rent in Den Haag with 1 bedroom in the Koningsplein en omgeving district.",Koningsplein en omgeving,Flat,G,For rent: Flat Daguerrestraat,https://www.pararius.com/apartment-for-rent/den-haag/79bb575f/daguerrestraat,Upholstered,30.0,,,1,1,1,06-01-2025,No,645.0,"Gallery flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1960
6651 AX (Druten),FIT Vastgoedbeheer,https://www.pararius.com/real-estate-agents/druten/fit-vastgoedbeheer,01-02-2025,Not present,Druten,Existing building,1375.0,"Description 

                                                         Conveniently located house for rent in Druten with 3 bedrooms in the Druten district.",Druten,House,A,For rent: House Ru Paré,https://www.pararius.com/house-for-rent/druten/7f4ea381/ru-pare,Shell,122.0,,12,1,3,4,06-01-2025,,1350.0,"Corner house, Family home",Unlimited period,Excludes: Service costs,,For rent,2019
1078 GG (Scheldebuurt),ViaDaan,https://www.pararius.com/real-estate-agents/eindhoven/viadaan,15-01-2025,Not present,Amsterdam,Existing building,4700.0,"Description 

                                                         Charming, Light-Filled Corner Apartment in the heart of Rivierenbuurt and a stone throw away to the Pijp 
 This stylish and spacious 65m² fully furnished corner apartment with energy label A, offers the perfect blend of modern comfort and timeless 1930s character. 
Located on the second floor, the apartment is bathed in natural light, thanks to its prime corner position with windows on two sides. 
 Apartment Features: 
• Bright & Airy: A generous, well-sized bedroom with built-in wardrobes and ample storage. 
• Modern Interior: private entrance leads you into the apartment with beautiful chevron oak wooden floor where you'll find additional wardrobe space and modern decorations including a washing/drying machine. 
• Open & Spacious Living Area: The living room, positioned on the corner of the building, connects seamlessly to the open kitchen, creating a bright and inviting space. 
• Fully Equipped Kitchen: The modern kitchen features high-quality, partly built-in appliances including a gas stove, oven, dishwasher, fridge, and freezer. 
• Stylish Bathroom: The bathroom is finished with elegant stone tiles and includes a shower. The toilet is separate for added convenience. 
• Smart Design: The apartment has been thoughtfully designed to maximize space, with built-in cabinetry and clever storage solutions throughout. 
 This turnkey apartment is ready to be enjoyed. 
A viewing will reveal the full potential of this beautiful home and can be easily arranged at your convenience. 
 Neighbourhood Highlights: 
The apartment is situated on the lovely Scheldestraat, in the sought-after Rivierenbuurt neighbourhood, close to the Pijp (vibrant of restaurants, bars, boutique shops, fresh market etc.), Beatrixpark, Rai station, and the Noord-Zuid metro line. The area is known for its greenery, wide streets, and a vibrant selection of local shops, delis, and eateries. You’ll find everything you need within walking distance, including an excellent fish shop, bakery, trendy coffee spots, and cozy restaurants. 
For outdoor enthusiasts, Beatrixpark offers peaceful green spaces, and the nearby Amstel river is perfect for jogging. The neighbourhood also boasts several gyms, and De Mirandabad swimming pool is just a short bike ride away. 
 De Pijp is one of Amsterdam’s most vibrant and diverse neighbourhoods. Famous for the bustling Albert Cuyp Market, you’ll find a wide variety of fresh produce, local delicacies, and unique items. The area is home to Sarphatipark, a peaceful green space perfect for relaxation, and is just a short walk from the Heineken Experience. 
The neighbourhood is rich in cultural diversity, offering a range of international cafes, restaurants, and shops. You’ll also find some of the city's top museums, including the Rijksmuseum and Van Gogh Museum, nearby. With excellent public transport links and a lively, welcoming atmosphere, De Pijp is a dynamic and desirable place to live or visit.",Scheldebuurt,Flat,A,For rent: Flat Scheldestraat 41 2,https://www.pararius.com/apartment-for-rent/amsterdam/949fd299/scheldestraat,Furnished,65.0,,,1,1,2,06-01-2025,,2350.0,"Upstairs apartment, Apartment",Unlimited period,Includes: Service costs,,For rent,1930
