address,agent_name,agent_url,area,available,balcony,construction_type,deposit,description,duration,dwelling_type,energy_rating,garden,house_name,house_url,interior,number_of_bathrooms,number_of_bedrooms,number_of_rooms,offered_since,pets_allowed,price,property_type,rental_agreement,service_cost,smoking_allowed,status,year_of_construction
9743 KR (Vinkhuizen-Noord),Makelaardij Minerva,https://www.pararius.com/real-estate-agents/groningen/makelaardij-minerva,16 m²,2025-01-15 00:00:00,Not present,Existing building,595.0,"
                ,Description,

                                                        ,For Rent from of 15 st January 2025: Spacious studio (ca. 16 m2) located in the area of Vinkhuizen, very close to Zernike Complex. University and city center ca.15 minuites by bike. Nearby Motorway "" Ringweg"". Quiet area. Situated on 1st floor.,
,Minimum time rental contract: half a year.,
,Studio(ca.16m2) with open kitchen with cooking and cooling facilities . Shared bathroom and toilet with 1 other tennant.,
,
,Rent all inclusive (heating / electricity / water/ TV / Internet / local taxes / service costs € 595,= month.,
,1 month deposit € 595,=,
,No pets allowed! No smoking.,
,Free parking in the street,
,
,
,we are looking for a quiet person, willing to respect the work and sleeping needs of the other tennants and neighbours.,
,Please apply by email, introduce yourselve and your financial position. And how long you want to rent.,
,
                            ",Minimum of 6 months,Studio,D,Not present,For rent: Studio Robijnstraat in Groningen,https://www.pararius.com/studio-for-rent/groningen/936b8e00/robijnstraat,Upholstered,1,,1,2024-12-02 00:00:00,No,595.0,Studio,Unlimited period,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,1970
1186 GH (Kringloopbuurt),Rotsvast Amstelveen,https://www.pararius.com/real-estate-agents/amstelveen/rotsvast-amstelveen,110 m²,2024-12-02 00:00:00,Present,Existing building,5000.0,"
                ,Description,

                                                        ,Rotsvast Amstelveen offers for rent:,
Spacious and furnished 4-room apartment with balcony all around. This apartment is located in a luxury residential tower next to the Groenhof shopping center with various shops for your daily shopping. There is a good connection to public transport (metro / bus) and ideally located with regard to access roads (including A9 / Beneluxbaan),
,Access via the communal entrance of the complex. This is a secured entrance with video intercom system.,
,Layout:,
Hall with access to all rooms and large built-in closet of approx. 4m2. Modern kitchen with built-in appliances (dishwasher, combi oven, fridge / freezer) and access to the balcony facing southwest and the spacious living room. Bathroom with bath, shower and washbasin. 3 spacious bedrooms (9, 11, 14m2). Indoor storage room available in the basement of the complex.,
,Details:,
- Furnished,
- 3 bedrooms,
- Balcony facing southwest,
- Kitchen with built-in appliances,
- Parking with a parking permit,
- Private storage room in the basement of the complex,
- Available from December 1, 2024,
,Financial:,
- Rent: €2,500 per month,
- Advance payment for block heating: €150 per month,
- Deposit: €4,500,
,If you are interested and/or would like more information, please feel free to contact our office in Amstelveen via:,
T: ******,
E: ******,
W: ******,
,Our terms and conditions apply,
                            ",Minimum of 12 months,Flat,C,Not present,For rent: Flat Groenhof in Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/a25d72ab/groenhof,Furnished,1,3,4,2024-11-20 00:00:00,No,2500.0,"Staircase-accessed flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1973
8926 PT (Camminghaburen-Noord),House Rent Leeuwarden,https://www.pararius.com/real-estate-agents/leeuwarden/house-rent-leeuwarden,95 m²,2025-01-01 00:00:00,Not present,Existing building,1250.0,"
                ,Description,

                                                        ,Lovely house with garden for rent in Leeuwarden with 3 bedrooms in the Camminghaburen-Noord district.,
                            ",Minimum of 12 months,House,C,Present,For rent: House Oenemastate in Leeuwarden,https://www.pararius.com/house-for-rent/leeuwarden/9a725e26/oenemastate,Upholstered,1,3,4,2024-12-02 00:00:00,No,1250.0,"Mid-terrace house, Family home",Unlimited period,Excludes: Service costs,No,For rent,1981
3331 MM (Euryza),Rotsvast Rotterdam,https://www.pararius.com/real-estate-agents/rotterdam/rotsvast-rotterdam,104 m²,2024-12-02 00:00:00,Present,New development,5000.0,"
                ,Description,

                                                        ,Charming apartment with balcony for rent in Zwijndrecht with 2 bedrooms in the Euryza district.,
                            ",,Flat,A+++,Not present,For rent: Flat Euryzakade in Zwijndrecht,https://www.pararius.com/apartment-for-rent/zwijndrecht/2cca46f9/euryzakade,Upholstered,1,2,3,2024-12-02 00:00:00,No,2500.0,"Staircase-accessed flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,2024
5643 NT (Sintenbuurt),Friendly Housing,https://www.pararius.com/real-estate-agents/eindhoven/friendly-housing,12 m²,2025-01-09 00:00:00,Not present,,650.0,"
                ,Description,

                                                        ,SHORT STAY,
,Renovated, complete furnished new (student) house located in Stratum. Ideally located near the city centre, shopping facilities at the Heezerweg and the Floraplein with access to the highway.,
,The complete furnished room with wash-basin is located in a house with shared facilities. The kitchen, 1 toilet, 1 shower needs to be shared with 5 other tenants.,
,Additional information:,
,
,The rent is including energy costs and Internet,
,Including a weekly cleaning of the common area's in the student house,
,Maximum rental period is 6 months,
,Deposit is € 650,-,
,
                            ",Maximum of 6 months,Room,,Not present,For rent: Room Thomas à Kempislaan in Eindhoven,https://www.pararius.com/room-for-rent/eindhoven/c3ac52a4/thomas-a-kempislaan,Furnished,,,1,2024-12-02 00:00:00,No,650.0,,Temporary rental,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,
9721 EH (Helpman),ViaDaan,https://www.pararius.com/real-estate-agents/eindhoven/viadaan,120 m²,2024-12-30 00:00:00,Present,Existing building,1950.0,"
                ,Description,

                                                        ,Gemeubileerde bovenwoning te huur voor 3 maanden ** English Below**,
(30 december - 29 maart).,
,Eerste verdieping: Lichte woonkamer met open keuken (45m2) en toilet. De keuken is uitgerust met vaatwasser, koel en vriescombinatie, quooker, oven en inductie kookplaat (bora).,
,Bovenverdieping: 2 slaapkamer (18 en 14 m2) en badkamer met regendouche en ligbad. 3e slaapkamers is in gebruik als kledingkamer, incl. wasmachine en droger. Op beide verdiepingen is een klein balkon aan de achterzijde, bovenop de woning is een dakterras.,
,Het huis is makkelijk bereikbaar met de auto.,
*Mogelijkheid om tijdens huur woning ook een auto (Volvo XC40) te huren .,
,Kenmerken:,
- Wijk Helpman, voorzieningen als supermarkt etc. op loopafstand,
- Rustige locatie,
,De woning is geschikt voor 1 persoon of een stel.,
Periode: 30 december tot 29 maart,
Huurpijs: incl. Meubilering, internet/tv en Excl. G/W/L.,
Waarborgsom: gelijk aan 1 maand huur,
Huisdieren niet toegestaan,
,** English**,
,Furnished upstairs apartment for rent only for 3 months,
(December 30 - March 29).,
,First floor: Bright living room with open kitchen (45m2) and toilet. The kitchen is equipped with dishwasher, fridge-freezer, quooker, oven and induction (bora).,
,Top floor: 2 bedroom (18 and 14 m2) and bathroom with rain shower and bath. 3rd bedroom is used as a dressing room, including washing machine and dryer. There is a small balcony at the rear on both floors, and there is a roof terrace on top of the house.,
,The house is easily accessible by car.,
*Possibility to also rent a car (Volvo XC40) while renting the home.,
,Features:,
- Helpman district, facilities such as supermarket, etc. within walking distance,
- Quiet location,
,The house is suitable for 1 person or a couple.,
Period: December 30 to March 29,
Rental price: incl. Furniture, internet/TV and Excl. G/W/L.,
Deposit: equal to 1 month's rent,
Pets not allowed,
                            ",Maximum of 3 months,Flat,E,Not present,For rent: Flat Van Starkenborghstraat 118 in Groningen,https://www.pararius.com/apartment-for-rent/groningen/db1cf9d7/van-starkenborghstraat,Furnished,1,2,3,2024-12-02 00:00:00,,1950.0,Upstairs apartment,Temporary rental,"Includes: Internet, Service costs",,For rent,1935
5324 EN (Ammerzoden),Mike Janssen Beheer/Taxatie/Beleggingspanden,https://www.pararius.com/real-estate-agents/velddriel/mike-janssen-beheer-taxatie-beleggingspanden,126 m²,In consultation,Not present,Existing building,,"
                ,Description,

                                                        ,Conveniently located house with garden for rent in Ammerzoden with 4 bedrooms in the Ammerzoden district.,
                            ",,House,A,Present,For rent: House Langehof in Ammerzoden,https://www.pararius.com/house-for-rent/ammerzoden/83dc4335/langehof,,1,4,8,2024-12-02 00:00:00,,1700.0,"Mid-terrace house, Family home",,,,For rent,1982
4385 GV (Bossenburgh - Weyevliet),123Wonen Zeeland,https://www.pararius.com/real-estate-agents/vlissingen/123wonen-zeeland,110 m²,In consultation,,Existing building,,"
                ,Description,

                                                        ,Spacious 4-room apartment in a quiet area of Vlissingen with beautiful views and a lovely spacious balcony. The apartment has a living area of 110 m2 and is fully furnished!,
,The furniture shown in the photos belongs to the home, but all personal items such as plants, wall decorations and other decorative items belong to the current tenant.,
,Stylish living in Vlissingen. That's possible in this area. Zuilenburg 44 is located in the Bossenburgh - Weyevliet area. This is a child-friendly neighborhood with relatively many families. The neighborhood has a relatively large number of young residents between the ages of 25 and 44.,
,The house is easily accessible with many amenities nearby. Situated within cycling distance of the center of Vlissingen, walking distance from a supermarket. In addition, the nearest exit road in the vicinity is just a 4-minute drive away.,
,Very spacious and well maintained with a spacious living room, 3 bedrooms, open kitchen, neat sanitary facilities and a balcony spanning the full width of the apartment.,
,Layout:,
Closed porch with intercom and stairs to the gallery on the 1st floor. Entrance via gallery, hall with meter cupboard, toilet and access to the spacious and, above all, bright living room. At the front is the open kitchen, with plenty of cupboard space.,
,Through the hall and the living room you will find 3 good bedrooms, with the largest bedroom at the rear. This bedroom is furnished with a double bed. The sanitary facilities are neatly done and have a bath with shower and sink and the washing machine. In the hall there is a large storage cupboard and a separate toilet room.,
,The 2nd bedroom is furnished with a single bed (placing a double bed is negotiable) and the 3rd bedroom serves as an office or is suitable as storage space.,
,The spacious balcony can be reached from the living room and the bedroom at the rear. The balcony extends over the full width of the apartment. An ideal place to relax and enjoy a wonderful panoramic view of municipal greenery.,
,There is ample free parking in front of the apartment complex and this apartment has a storage room for bicycles.,
,This house is definitely worth a viewing!,
,Rental amount € 1,400,
,Service costs: € 30,-,
,The tenant concludes the electricity contract himself,
,Deposit € 1,400,
,Rental period: Indefinite period with a minimum of one year,
,Available: 01-01-2025,
                            ",,Flat,C,Not present,For rent: Flat Zuilenburg in Vlissingen,https://www.pararius.com/apartment-for-rent/vlissingen/a5db8fdf/zuilenburg,Furnished,1,3,4,2024-12-02 00:00:00,,1400.0,"Upstairs apartment, Apartment",,,,For rent,1971
1011 ET (Nieuwmarkt/Lastage),First Class Housing,https://www.pararius.com/real-estate-agents/amstelveen/first-class-housing,95 m²,2025-01-02 00:00:00,Not present,Existing building,,"
                ,Description,

                                                        ,** NOT AVAILABLE FOR SHARING **,
,Fully furnished three bedroom apartment, located in Amsterdam centre,
,This lovely apartment comes fully furnished and had three good sized bedrooms. It is located on the first floor of a well kept apartment complex and is divided over three floors.,
,Located in the heart of Amsterdam, there is public transportation, supermarkets, restaurants and many other amenities nearby. Everything you need is within walking distance, including the Central Station.,
,Layout:,
Entrance via stairs into the hall of the apartment with access to all rooms.,
- Open and bright living room,
- Fully equipped kitchen,
- Three spacious bedrooms,
- Bathroom with walk-in shower and wash basin,
,- Laundry room,
,- Separate toilet,
,Features:,
- Fully furnished,
- Three bedrooms,
- Total living space 95 SQM,
,Location:,
Amsterdam Centre,
,Public transportation:,
Amsterdam Central Station,
,Metro 54,
,High way connections to:,
A10,
,Tenancy agreements subject to owner’s consent,
Measurements not conform NEN 2580,
,For more information about this property or about our portfolio in general, please call our office or visit our website. Our team of specialists will be glad to be of service.,
                            ",Minimum of 12 months,Flat,A,Not present,For rent: Flat Koningsstraat in Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/7450d978/koningsstraat,Furnished,1,3,4,2024-12-02 00:00:00,No,2750.0,"Upstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1729
2311 CE (Academiewijk),Woonzeker Rentals,https://www.pararius.com/real-estate-agents/den-haag/woonzeker-rentals,37 m²,2024-12-06 00:00:00,Not present,Existing building,,"
                ,Description,

                                                        ,**English text below  ,
,Super nice 2-room apartment available which is located on the ground floor! The house is located on Noordeinde, a street with a rich history and is known for its charming, old-fashioned atmosphere. Noordeinde has a diverse range of shops, boutiques, restaurants and cafés. Here you can enjoy local delicacies, have a bite to eat, or buy unique products. It is also a popular destination for tourists and residents of Leiden, especially during events and market days. In addition to the shops and eateries, Noordeinde is also home to some cultural attractions, such as the SieboldHuis, a museum dedicated to Japanese art and culture, and the Leidse Schouwburg, a historic theater that has been hosting performances for centuries. The apartment is perfectly suitable for a starter!  ,
,LAYOUT: Entrance at street level, you enter the common area. The apartment is located directly on the ground floor at the rear. Front door, apartment entrance in the hall. Living room of approx. 20 m². From the living room you have access to the lovely cozy backyard through French doors. Open kitchen which is equipped with a hob, refrigerator and extractor hood. Bedroom of approx. 8 m². Bathroom which has a shower, sink and toilet.  ,
,The entire house has a laminate floor, lighting fixtures, window coverings and is heated by central heating. The washer/dryer is for shared use via a coin system.  ,
,DETAILS:,
- Ground floor apartment with courtyard and small garden,
- Located in the bustling center,
- Perfect for a starter  ,
,RENTAL PRICE:,
- Excluding advance payment of € 150,00 p/m for the use of gas, water and electricity and excluding internet and television,
- Including advance payment for any service costs  ,
,RENTAL CONDITIONS:,
- Property is suitable for a maximum of 1 person,
- Lease term: minimum 1 year + indefinite period,
- Deposit equal to the (total) monthly rent,
- Housing permit not required,
- No pets allowed  ,
,REQUIREMENTS:,
See under the tab ""rental conditions"" which documents are required for renting this property.  ,
,* No legal rights can be derived from the above text,
                            ",,Flat,B,Present,For rent: Flat Noordeinde 42 B in Leiden,https://www.pararius.com/apartment-for-rent/leiden/04a9586b/noordeinde,Upholstered,1,1,2,2024-12-02 00:00:00,,976.0,Downstairs apartment,,,,For rent,1825
